Time,Fx,Fy,Fx_actual,Fy_actual,Sep1,Sep2
1536010495.366022107,0,0,0,0,0,0
1536010495.370089508,0,0,0,0,0,0
1536010495.374084662,0,0,0,0,0,0
1536010495.378087043,0,0,0,0,0,0
1536010495.382089704,0,0,0,0,0,0
1536010495.386086541,0,0,0,0,0,0
1536010495.390084310,0,0,0,0,0,0
1536010495.394085234,0,0,0,0,0,0
1536010495.398090112,0,0,0,0,0,0
1536010495.402083426,0,0,0,0,0,0
1536010495.406084325,-7.05317,-11.8087,0,0,0,0
1536010495.410080853,-7.05317,-11.8087,0,0,0,0
1536010495.414081888,-7.05317,-11.8087,0,0,0,0
1536010495.418078997,-7.05317,-11.8087,0,0,0,0
1536010495.422083931,-7.05317,-11.8087,0,0,0,0
1536010495.426078341,-7.05317,-11.8087,0,0,0,0
1536010495.430080664,-7.05317,-11.8087,0,0,0,0
1536010495.434080859,-7.05317,-11.8087,0,0,0,0
1536010495.438080996,-7.05317,-11.8087,0,0,0,0
1536010495.442077458,-7.05317,-11.8087,0,0,0,0
1536010495.446077778,-7.05317,-11.8087,0,0,0,0
1536010495.450412616,-7.05317,-11.8087,0,0,0,0
1536010495.454076165,-7.05317,-11.8087,0,0,0,0
1536010495.458076543,-7.05317,-11.8087,0,0,0,0
1536010495.462082128,-7.05317,-11.8087,0,0,0,0
1536010495.466075950,-7.05317,-11.8087,0,0,0,0
1536010495.470078653,-7.05317,-11.8087,0,0,0,0
1536010495.474076845,-7.05317,-11.8087,0,0,0,0
1536010495.478078584,-7.05317,-11.8087,0,0,0,0
1536010495.482077760,-7.05317,-11.8087,0,0,0,0
1536010495.486076042,-7.05317,-11.8087,0,0,0,0
1536010495.490077033,-7.05317,-11.8087,0,0,0,0
1536010495.494077540,-7.05317,-11.8087,0,0,0,0
1536010495.498078021,-7.05317,-11.8087,0,0,0,0
1536010495.502099375,-7.05317,-11.8087,0,0,0,0
1536010495.506075624,-7.05317,-11.8087,0,0,0,0
1536010495.510076991,-7.05317,-11.8087,0,0,0,0
1536010495.514074633,-7.05317,-11.8087,0,0,0,0
1536010495.518076318,-7.05317,-11.8087,0,0,0,0
1536010495.522075944,-7.05317,-11.8087,0,0,0,0
1536010495.526073721,-7.05317,-11.8087,0,0,0,0
1536010495.530073448,-7.05317,-11.8087,0,0,0,0
1536010495.534073593,-7.05317,-11.8087,0,0,0,0
1536010495.538074900,-7.05317,-11.8087,0,0,0,0
1536010495.542035595,-7.05317,-11.8087,0,0,0,0
1536010495.546074005,-7.05317,-11.8087,0,0,0,0
1536010495.550074791,-7.05317,-11.8087,0,0,0,0
1536010495.554074200,-7.05317,-11.8087,0,0,0,0
1536010495.558074780,-7.05317,-11.8087,0,0,0,0
1536010495.562075705,-7.05317,-11.8087,0,0,0,0
1536010495.566075687,-7.05317,-11.8087,0,0,0,0
1536010495.570076730,-7.05317,-11.8087,0,0,0,0
1536010495.574076354,-7.05317,-11.8087,0,0,0,0
1536010495.578080641,-7.05317,-11.8087,0,0,0,0
1536010495.582080462,-7.05317,-11.8087,0,0,0,0
1536010495.586075226,-7.05317,-11.8087,0,0,0,0
1536010495.590075700,-7.05317,-11.8087,0.032,0.087,0,0
1536010495.594075869,-7.05317,-11.8087,0.045,0.087,0,0
1536010495.598074980,-7.05317,-11.8087,0.055,0.103,0,0
1536010495.602073873,-7.05317,-11.8087,0.059,0.127,0,0
1536010495.606075461,-7.05317,-11.8087,0.054,0.142,0,0
1536010495.610074561,-7.05317,-11.8087,0.04,0.138,0,0
1536010495.614074709,-7.05317,-11.8087,0.022,0.116,0,0
1536010495.618074512,-7.05317,-11.8087,0.014,0.095,0,0
1536010495.622075052,-7.05317,-11.8087,0.023,0.09,0,0
1536010495.626074268,-7.05317,-11.8087,0.048,0.106,0,0
1536010495.630075293,-7.05317,-11.8087,0.076,0.132,0,0
1536010495.634074856,-7.05317,-11.8087,0.09,0.156,0,0
1536010495.638076352,-7.05317,-11.8087,0.085,0.176,0,0
1536010495.642076061,-7.05317,-11.8087,0.067,0.197,0,0
1536010495.646093461,-7.05317,-11.8087,0.049,0.215,0,0
1536010495.650073463,-7.05317,-11.8087,0.039,0.218,0,0
1536010495.654073589,-7.05317,-11.8087,0.038,0.195,0,0
1536010495.658073313,-7.05317,-11.8087,0.038,0.195,0,0
1536010495.662073175,-7.05317,-11.8087,0.038,0.195,0,0
1536010495.666075161,-7.05317,-11.8087,0.038,0.195,0,0
1536010495.670074472,-7.05317,-11.8087,0.038,0.195,0,0
1536010495.674073555,-7.05317,-11.8087,0.038,0.195,0,0
1536010495.678074776,-7.05317,-11.8087,0.038,0.195,0,0
1536010495.682074523,-7.05317,-11.8087,0.038,0.195,0,0
1536010495.686074858,-7.05317,-11.8087,0.038,0.195,0,0
1536010495.690074854,-7.05317,-11.8087,0.038,0.195,0,0
1536010495.694075184,-7.05317,-11.8087,0.038,0.195,0,0
1536010495.698075560,-7.05317,-11.8087,0.038,0.195,0,0
1536010495.702073850,-7.05317,-11.8087,0.038,0.195,0,0
1536010495.706073419,-7.05317,-11.8087,0.038,0.195,0,0
1536010495.710073447,-7.05317,-11.8087,0.038,0.195,0,0
1536010495.714074538,-7.05317,-11.8087,0.038,0.195,0,0
1536010495.718074791,-7.05317,-11.8087,0.038,0.195,0,0
1536010495.722074767,-7.05317,-11.8087,0.038,0.195,0,0
1536010495.726074782,-7.05317,-11.8087,0.038,0.195,0,0
1536010495.730074774,-7.05317,-11.8087,0.038,0.195,0,0
1536010495.734074824,-7.05317,-11.8087,0.038,0.195,0,0
1536010495.738094488,-7.05317,-11.8087,0.038,0.195,0,0
1536010495.742075132,-7.05317,-11.8087,0.038,0.195,0,0
1536010495.746073680,-7.05317,-11.8087,0.038,0.195,0,0
1536010495.750074283,-7.05317,-11.8087,0.038,0.195,0,0
1536010495.754077673,-7.05317,-11.8087,0.038,0.195,0,0
1536010495.758077867,-7.05317,-11.8087,0.038,0.195,0,0
1536010495.762077780,-7.05317,-11.8087,0.038,0.195,0,0
1536010495.766077945,-7.05317,-11.8087,0.038,0.195,0,0
1536010495.770078008,-7.05317,-11.8087,0.038,0.195,0,0
1536010495.774074786,-7.05317,-11.8087,0.038,0.195,0,0
1536010495.778077696,-7.05317,-11.8087,0.038,0.195,0,0
1536010495.782077641,-7.05317,-11.8087,0.038,0.195,0,0
1536010495.786077660,-7.05317,-11.8087,0.038,0.195,0,0
1536010495.790086432,-7.05317,-11.8087,0.038,0.195,0,0
1536010495.794076337,-7.05317,-11.8087,0.038,0.195,0,0
1536010495.798077983,-7.05317,-11.8087,0.038,0.195,0,0
1536010495.802077469,-7.05317,-11.8087,0.038,0.195,0,0
1536010495.806076023,-7.05317,-11.8087,0.038,0.195,0,0
1536010495.810077669,-7.05317,-11.8087,0.038,0.195,0,0
1536010495.814086651,-7.05317,-11.8087,0.038,0.195,0,0
1536010495.818077710,-7.05317,-11.8087,0.038,0.195,0,0
1536010495.822078156,-7.05317,-11.8087,0.038,0.195,0,0
1536010495.826077607,-7.05317,-11.8087,0.038,0.195,0,0
1536010495.830077655,-7.05317,-11.8087,0.038,0.195,0,0
1536010495.834077540,-7.05317,-11.8087,0.038,0.195,0,0
1536010495.838077863,-7.05317,-11.8087,0.038,0.195,0,0
