Time,Fx,Fy,Fx_actual,Fy_actual,Sep1,Sep2
1536010731.683988100,0,0,0,0,0,0
1536010731.688058678,0,0,0,0,0,0
1536010731.692058868,0,0,0,0,0,0
1536010731.696064726,0,0,0,0,0,0
1536010731.700072999,0,0,0,0,0,0
1536010731.704060296,0,0,0,0,0,0
1536010731.708058005,0,0,0,0,0,0
1536010731.712053715,0,0,0,0,0,0
1536010731.716072550,0,0,0,0,0,0
1536010731.720070377,0,0,0,0,0,0
1536010731.724055494,0,0,0,0,0,0
1536010731.728061614,0,0,0,0,0,0
1536010731.732054078,0,0,0,0,0,0
1536010731.736076058,-14.2146,-11.8087,0,0,0,0
1536010731.740050086,-14.2146,-11.8087,0,0,0,0
1536010731.744053646,-14.2146,-11.8087,0,0,0,0
1536010731.748046093,-14.2146,-11.8087,0,0,0,0
1536010731.752041249,-14.2146,-11.8087,0,0,0,0
1536010731.756042559,-14.2146,-11.8087,0,0,0,0
1536010731.760043501,-14.2146,-11.8087,0,0,0,0
1536010731.764046224,-14.2146,-11.8087,0,0,0,0
1536010731.768044968,-14.2146,-11.8087,0,0,0,0
1536010731.772044932,-14.2146,-11.8087,0,0,0,0
1536010731.776045525,-14.2146,-11.8087,0,0,0,0
1536010731.780047516,-14.2146,-11.8087,0,0,0,0
1536010731.784046160,-14.2146,-11.8087,0,0,0,0
1536010731.788044175,-14.2146,-11.8087,0,0,0,0
1536010731.792046268,-14.2146,-11.8087,0,0,0,0
1536010731.796045031,-14.2146,-11.8087,0,0,0,0
1536010731.800048810,-14.2146,-11.8087,0,0,0,0
1536010731.804046406,-14.2146,-11.8087,0,0,0,0
1536010731.808045073,-14.2146,-11.8087,0,0,0,0
1536010731.812045936,-14.2146,-11.8087,0,0,0,0
1536010731.816044503,-14.2146,-11.8087,0,0,0,0
1536010731.820043650,-14.2146,-11.8087,0,0,0,0
1536010731.824062695,-14.2146,-11.8087,0,0,0,0
1536010731.828040551,-14.2146,-11.8087,0,0,0,0
1536010731.832043199,-14.2146,-11.8087,0,0,0,0
1536010731.836042897,-14.2146,-11.8087,0,0,0,0
1536010731.840039351,-14.2146,-11.8087,0,0,0,0
1536010731.844039652,-14.2146,-11.8087,0,0,0,0
1536010731.848042673,-14.2146,-11.8087,0,0,0,0
1536010731.852043045,-14.2146,-11.8087,0,0,0,0
